frame_no,ts,src_ip,dst_ip,src_mac,dst_mac,protocol,transport,src_port,dst_port,length,tcp_syn,tcp_ack,tcp_fin,tcp_rst,dns_qry_name,dns_qry_type,dns_response,dns_rcode,http_method,http_host,http_uri,arp_src_ip,arp_src_mac,arp_opcode,info
2830,1700000252.0,10.0.0.1,10.0.0.255,de:ad:be:ef:00:99,ff:ff:ff:ff:ff:ff,ARP,ARP,,,42,,,,,,,,,,,,10.0.0.1,de:ad:be:ef:00:99,2,10.0.0.1 is at de:ad:be:ef:00:99 (gratuitous)
2831,1700000253.8518317,10.0.0.109,10.0.0.1,02:f8:72:e4:ad:c7,00:11:22:33:44:01,DNS,UDP,62916,53,76,,,,,mozilla.org,1,0,,,,,,,,Standard query A mozilla.org
2832,1700000253.8718317,10.0.0.1,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,DNS,UDP,53,62916,90,,,,,mozilla.org,1,1,0,,,,,,,Standard query response A mozilla.org
2833,1700000253.9018316,10.0.0.109,93.184.184.21,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TCP,TCP,62916,443,74,1,0,0,0,,,,,,,,,,,SYN
2834,1700000253.9318316,93.184.184.21,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,TCP,TCP,443,62916,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2835,1700000254.2375324,10.0.0.109,93.184.184.21,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TLS,TCP,62916,443,1216,0,1,0,0,,,,,,,,,,,Application Data
2836,1700000254.4928927,10.0.0.109,93.184.184.21,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TLS,TCP,62916,443,743,0,1,0,0,,,,,,,,,,,Application Data
2837,1700000255.0231783,93.184.184.21,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,TLS,TCP,443,62916,1334,0,1,0,0,,,,,,,,,,,Application Data
2838,1700000255.567012,10.0.0.109,93.184.184.21,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TLS,TCP,62916,443,1222,0,1,0,0,,,,,,,,,,,Application Data
2839,1700000257.0,10.0.0.1,10.0.0.255,de:ad:be:ef:00:99,ff:ff:ff:ff:ff:ff,ARP,ARP,,,42,,,,,,,,,,,,10.0.0.1,de:ad:be:ef:00:99,2,10.0.0.1 is at de:ad:be:ef:00:99 (gratuitous)
2840,1700000257.97423,10.0.0.102,10.0.0.1,02:86:f9:bc:c2:b7,00:11:22:33:44:01,DNS,UDP,53297,53,85,,,,,mozilla.org,1,0,,,,,,,,Standard query A mozilla.org
2841,1700000257.99423,10.0.0.1,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,DNS,UDP,53,53297,121,,,,,mozilla.org,1,1,0,,,,,,,Standard query response A mozilla.org
2842,1700000258.02423,10.0.0.102,93.184.110.178,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TCP,TCP,53297,443,74,1,0,0,0,,,,,,,,,,,SYN
2843,1700000258.05423,93.184.110.178,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TCP,TCP,443,53297,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2844,1700000258.0871472,10.0.0.102,93.184.110.178,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,53297,443,886,0,1,0,0,,,,,,,,,,,Application Data
2845,1700000258.190163,93.184.110.178,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TLS,TCP,443,53297,885,0,1,0,0,,,,,,,,,,,Application Data
2846,1700000259.1888595,93.184.110.178,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TLS,TCP,443,53297,483,0,1,0,0,,,,,,,,,,,Application Data
2847,1700000259.259934,10.0.0.102,93.184.110.178,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,53297,443,1171,0,1,0,0,,,,,,,,,,,Application Data
2848,1700000259.6309738,10.0.0.102,93.184.110.178,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,53297,443,1074,0,1,0,0,,,,,,,,,,,Application Data
2849,1700000260.1036282,10.0.0.108,185.220.101.47,02:21:25:bf:a4:35,00:11:22:33:44:01,TLS,TCP,64170,443,200,0,1,0,0,,,,,,,,,,,Application Data (beacon check-in)
2850,1700000260.203628,185.220.101.47,10.0.0.108,00:11:22:33:44:01,02:21:25:bf:a4:35,TLS,TCP,443,64170,135,0,1,0,0,,,,,,,,,,,Application Data
2851,1700000260.5796072,10.0.0.102,93.184.110.178,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,53297,443,1126,0,1,0,0,,,,,,,,,,,Application Data
2852,1700000260.7625053,10.0.0.106,10.0.0.1,02:73:3a:17:8d:e3,00:11:22:33:44:01,DNS,UDP,53867,53,83,,,,,google.com,1,0,,,,,,,,Standard query A google.com
2853,1700000260.7825053,10.0.0.1,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,DNS,UDP,53,53867,117,,,,,google.com,1,1,0,,,,,,,Standard query response A google.com
2854,1700000260.8125052,10.0.0.106,93.184.236.192,02:73:3a:17:8d:e3,00:11:22:33:44:01,TCP,TCP,53867,443,74,1,0,0,0,,,,,,,,,,,SYN
2855,1700000260.8425052,93.184.236.192,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TCP,TCP,443,53867,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2856,1700000261.789996,10.0.0.100,10.0.0.1,02:16:c6:a7:70:6e,00:11:22:33:44:01,DNS,UDP,49722,53,76,,,,,amazon.com,1,0,,,,,,,,Standard query A amazon.com
2857,1700000261.809996,10.0.0.1,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,DNS,UDP,53,49722,116,,,,,amazon.com,1,1,0,,,,,,,Standard query response A amazon.com
2858,1700000261.8399959,10.0.0.100,93.184.198.26,02:16:c6:a7:70:6e,00:11:22:33:44:01,TCP,TCP,49722,443,74,1,0,0,0,,,,,,,,,,,SYN
2859,1700000261.8699958,93.184.198.26,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TCP,TCP,443,49722,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2860,1700000262.1682642,93.184.198.26,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,49722,846,0,1,0,0,,,,,,,,,,,Application Data
2861,1700000262.216151,10.0.0.106,93.184.236.192,02:73:3a:17:8d:e3,00:11:22:33:44:01,TLS,TCP,53867,443,855,0,1,0,0,,,,,,,,,,,Application Data
2862,1700000262.2581427,93.184.236.192,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TLS,TCP,443,53867,494,0,1,0,0,,,,,,,,,,,Application Data
2863,1700000262.2768254,10.0.0.107,10.0.0.1,02:10:db:d3:46:a1,00:11:22:33:44:01,DNS,UDP,65496,53,79,,,,,apple.com,1,0,,,,,,,,Standard query A apple.com
2864,1700000262.2968254,10.0.0.1,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,DNS,UDP,53,65496,96,,,,,apple.com,1,1,0,,,,,,,Standard query response A apple.com
2865,1700000262.3268254,10.0.0.107,93.184.193.97,02:10:db:d3:46:a1,00:11:22:33:44:01,TCP,TCP,65496,443,74,1,0,0,0,,,,,,,,,,,SYN
2866,1700000262.330587,10.0.0.100,93.184.198.26,02:16:c6:a7:70:6e,00:11:22:33:44:01,TLS,TCP,49722,443,1187,0,1,0,0,,,,,,,,,,,Application Data
2867,1700000262.3568254,93.184.193.97,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TCP,TCP,443,65496,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2868,1700000262.5151339,10.0.0.100,93.184.198.26,02:16:c6:a7:70:6e,00:11:22:33:44:01,TLS,TCP,49722,443,641,0,1,0,0,,,,,,,,,,,Application Data
2869,1700000262.5240474,93.184.193.97,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TLS,TCP,443,65496,778,0,1,0,0,,,,,,,,,,,Application Data
2870,1700000262.8119874,93.184.236.192,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TLS,TCP,443,53867,793,0,1,0,0,,,,,,,,,,,Application Data
2871,1700000262.9140391,93.184.236.192,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TLS,TCP,443,53867,755,0,1,0,0,,,,,,,,,,,Application Data
2872,1700000263.0317552,10.0.0.108,10.0.0.1,02:2a:c2:b3:5a:11,00:11:22:33:44:01,DNS,UDP,65448,53,81,,,,,amazon.com,1,0,,,,,,,,Standard query A amazon.com
2873,1700000263.0517552,10.0.0.1,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,DNS,UDP,53,65448,116,,,,,amazon.com,1,1,0,,,,,,,Standard query response A amazon.com
2874,1700000263.0715675,93.184.236.192,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TLS,TCP,443,53867,463,0,1,0,0,,,,,,,,,,,Application Data
2875,1700000263.0817552,10.0.0.108,93.184.121.242,02:2a:c2:b3:5a:11,00:11:22:33:44:01,TCP,TCP,65448,443,74,1,0,0,0,,,,,,,,,,,SYN
2876,1700000263.1117551,93.184.121.242,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TCP,TCP,443,65448,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2877,1700000263.2840347,93.184.198.26,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,49722,570,0,1,0,0,,,,,,,,,,,Application Data
2878,1700000263.4025316,93.184.198.26,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,49722,508,0,1,0,0,,,,,,,,,,,Application Data
2879,1700000263.8047776,93.184.236.192,10.0.0.106,00:11:22:33:44:01,02:73:3a:17:8d:e3,TLS,TCP,443,53867,264,0,1,0,0,,,,,,,,,,,Application Data
2880,1700000263.8209515,93.184.193.97,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TLS,TCP,443,65496,442,0,1,0,0,,,,,,,,,,,Application Data
2881,1700000264.1033885,10.0.0.100,93.184.198.26,02:16:c6:a7:70:6e,00:11:22:33:44:01,TLS,TCP,49722,443,905,0,1,0,0,,,,,,,,,,,Application Data
2882,1700000264.1323993,93.184.193.97,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TLS,TCP,443,65496,685,0,1,0,0,,,,,,,,,,,Application Data
2883,1700000264.3593698,93.184.198.26,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,49722,863,0,1,0,0,,,,,,,,,,,Application Data
2884,1700000264.4306726,93.184.121.242,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,65448,367,0,1,0,0,,,,,,,,,,,Application Data
2885,1700000264.6464577,10.0.0.101,10.0.0.1,02:db:16:b2:33:18,00:11:22:33:44:01,DNS,UDP,57701,53,75,,,,,apple.com,1,0,,,,,,,,Standard query A apple.com
2886,1700000264.6664577,10.0.0.1,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,DNS,UDP,53,57701,101,,,,,apple.com,1,1,0,,,,,,,Standard query response A apple.com
2887,1700000264.6964576,10.0.0.101,93.184.106.138,02:db:16:b2:33:18,00:11:22:33:44:01,TCP,TCP,57701,443,74,1,0,0,0,,,,,,,,,,,SYN
2888,1700000264.7264576,93.184.106.138,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TCP,TCP,443,57701,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2889,1700000264.8182673,10.0.0.108,93.184.121.242,02:2a:c2:b3:5a:11,00:11:22:33:44:01,TLS,TCP,65448,443,583,0,1,0,0,,,,,,,,,,,Application Data
2890,1700000265.0724585,93.184.106.138,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,57701,695,0,1,0,0,,,,,,,,,,,Application Data
2891,1700000265.4945247,93.184.121.242,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,65448,1177,0,1,0,0,,,,,,,,,,,Application Data
2892,1700000265.8676116,93.184.106.138,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,57701,238,0,1,0,0,,,,,,,,,,,Application Data
2893,1700000265.9978034,93.184.121.242,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,65448,322,0,1,0,0,,,,,,,,,,,Application Data
2894,1700000266.1160996,10.0.0.101,93.184.106.138,02:db:16:b2:33:18,00:11:22:33:44:01,TLS,TCP,57701,443,216,0,1,0,0,,,,,,,,,,,Application Data
2895,1700000266.5270042,93.184.106.138,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,57701,653,0,1,0,0,,,,,,,,,,,Application Data
2896,1700000267.1773653,10.0.0.101,93.184.106.138,02:db:16:b2:33:18,00:11:22:33:44:01,TLS,TCP,57701,443,207,0,1,0,0,,,,,,,,,,,Application Data
2897,1700000268.3654122,10.0.0.103,10.0.0.1,02:c9:83:20:d6:73,00:11:22:33:44:01,DNS,UDP,57308,53,79,,,,,microsoft.com,1,0,,,,,,,,Standard query A microsoft.com
2898,1700000268.3854122,10.0.0.1,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,DNS,UDP,53,57308,102,,,,,microsoft.com,1,1,0,,,,,,,Standard query response A microsoft.com
2899,1700000268.4154122,10.0.0.103,93.184.73.102,02:c9:83:20:d6:73,00:11:22:33:44:01,TCP,TCP,57308,443,74,1,0,0,0,,,,,,,,,,,SYN
2900,1700000268.4304438,10.0.0.108,10.0.0.1,02:2a:c2:b3:5a:11,00:11:22:33:44:01,DNS,UDP,65132,53,73,,,,,github.com,1,0,,,,,,,,Standard query A github.com
2901,1700000268.4454122,93.184.73.102,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TCP,TCP,443,57308,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2902,1700000268.4504437,10.0.0.1,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,DNS,UDP,53,65132,108,,,,,github.com,1,1,0,,,,,,,Standard query response A github.com
2903,1700000268.4804437,10.0.0.108,93.184.191.54,02:2a:c2:b3:5a:11,00:11:22:33:44:01,TCP,TCP,65132,443,74,1,0,0,0,,,,,,,,,,,SYN
2904,1700000268.5104437,93.184.191.54,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TCP,TCP,443,65132,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2905,1700000268.8230777,93.184.191.54,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,65132,1189,0,1,0,0,,,,,,,,,,,Application Data
2906,1700000269.1817682,93.184.73.102,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,57308,1090,0,1,0,0,,,,,,,,,,,Application Data
2907,1700000269.2764676,93.184.191.54,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,65132,971,0,1,0,0,,,,,,,,,,,Application Data
2908,1700000269.3213482,93.184.73.102,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,57308,384,0,1,0,0,,,,,,,,,,,Application Data
2909,1700000269.4895477,93.184.73.102,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,57308,1181,0,1,0,0,,,,,,,,,,,Application Data
2910,1700000269.6169014,10.0.0.102,10.0.0.1,02:86:f9:bc:c2:b7,00:11:22:33:44:01,DNS,UDP,50450,53,71,,,,,apple.com,1,0,,,,,,,,Standard query A apple.com
2911,1700000269.6369014,10.0.0.1,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,DNS,UDP,53,50450,107,,,,,apple.com,1,1,0,,,,,,,Standard query response A apple.com
2912,1700000269.6669014,10.0.0.102,93.184.188.70,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TCP,TCP,50450,443,74,1,0,0,0,,,,,,,,,,,SYN
2913,1700000269.6969013,93.184.188.70,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TCP,TCP,443,50450,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2914,1700000269.8417437,10.0.0.102,93.184.188.70,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,50450,443,301,0,1,0,0,,,,,,,,,,,Application Data
2915,1700000269.8818455,93.184.73.102,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,57308,1140,0,1,0,0,,,,,,,,,,,Application Data
2916,1700000269.9988434,10.0.0.103,93.184.73.102,02:c9:83:20:d6:73,00:11:22:33:44:01,TLS,TCP,57308,443,1005,0,1,0,0,,,,,,,,,,,Application Data
2917,1700000270.2472196,93.184.188.70,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TLS,TCP,443,50450,567,0,1,0,0,,,,,,,,,,,Application Data
2918,1700000270.3239913,10.0.0.102,93.184.188.70,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,50450,443,1065,0,1,0,0,,,,,,,,,,,Application Data
2919,1700000270.3742623,93.184.191.54,10.0.0.108,00:11:22:33:44:01,02:2a:c2:b3:5a:11,TLS,TCP,443,65132,978,0,1,0,0,,,,,,,,,,,Application Data
2920,1700000270.382485,10.0.0.108,93.184.191.54,02:2a:c2:b3:5a:11,00:11:22:33:44:01,TLS,TCP,65132,443,437,0,1,0,0,,,,,,,,,,,Application Data
2921,1700000270.6540964,10.0.0.101,10.0.0.1,02:db:16:b2:33:18,00:11:22:33:44:01,DNS,UDP,61728,53,82,,,,,google.com,1,0,,,,,,,,Standard query A google.com
2922,1700000270.6740963,10.0.0.1,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,DNS,UDP,53,61728,125,,,,,google.com,1,1,0,,,,,,,Standard query response A google.com
2923,1700000270.7040963,10.0.0.101,93.184.103.218,02:db:16:b2:33:18,00:11:22:33:44:01,TCP,TCP,61728,443,74,1,0,0,0,,,,,,,,,,,SYN
2924,1700000270.706485,10.0.0.102,93.184.188.70,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,50450,443,992,0,1,0,0,,,,,,,,,,,Application Data
2925,1700000270.7340963,93.184.103.218,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TCP,TCP,443,61728,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2926,1700000270.8488402,93.184.103.218,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,61728,748,0,1,0,0,,,,,,,,,,,Application Data
2927,1700000271.0202997,93.184.103.218,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,61728,644,0,1,0,0,,,,,,,,,,,Application Data
2928,1700000271.026364,93.184.73.102,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TLS,TCP,443,57308,527,0,1,0,0,,,,,,,,,,,Application Data
2929,1700000271.479835,10.0.0.102,93.184.188.70,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,50450,443,373,0,1,0,0,,,,,,,,,,,Application Data
2930,1700000271.5988278,10.0.0.102,93.184.188.70,02:86:f9:bc:c2:b7,00:11:22:33:44:01,TLS,TCP,50450,443,1063,0,1,0,0,,,,,,,,,,,Application Data
2931,1700000271.6402686,10.0.0.101,93.184.103.218,02:db:16:b2:33:18,00:11:22:33:44:01,TLS,TCP,61728,443,983,0,1,0,0,,,,,,,,,,,Application Data
2932,1700000271.6664412,93.184.188.70,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TLS,TCP,443,50450,954,0,1,0,0,,,,,,,,,,,Application Data
2933,1700000271.807765,93.184.103.218,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,61728,479,0,1,0,0,,,,,,,,,,,Application Data
2934,1700000271.9679499,10.0.0.100,10.0.0.1,02:16:c6:a7:70:6e,00:11:22:33:44:01,DNS,UDP,54776,53,78,,,,,mozilla.org,1,0,,,,,,,,Standard query A mozilla.org
2935,1700000271.9879498,10.0.0.1,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,DNS,UDP,53,54776,106,,,,,mozilla.org,1,1,0,,,,,,,Standard query response A mozilla.org
2936,1700000271.9924598,93.184.188.70,10.0.0.102,00:11:22:33:44:01,02:86:f9:bc:c2:b7,TLS,TCP,443,50450,791,0,1,0,0,,,,,,,,,,,Application Data
2937,1700000272.0179498,10.0.0.100,93.184.162.224,02:16:c6:a7:70:6e,00:11:22:33:44:01,TCP,TCP,54776,443,74,1,0,0,0,,,,,,,,,,,SYN
2938,1700000272.0479498,93.184.162.224,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TCP,TCP,443,54776,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2939,1700000272.5966926,10.0.0.101,93.184.103.218,02:db:16:b2:33:18,00:11:22:33:44:01,TLS,TCP,61728,443,1164,0,1,0,0,,,,,,,,,,,Application Data
2940,1700000272.7562869,10.0.0.101,93.184.103.218,02:db:16:b2:33:18,00:11:22:33:44:01,TLS,TCP,61728,443,826,0,1,0,0,,,,,,,,,,,Application Data
2941,1700000272.9176905,93.184.162.224,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,54776,386,0,1,0,0,,,,,,,,,,,Application Data
2942,1700000272.9660997,93.184.162.224,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,54776,908,0,1,0,0,,,,,,,,,,,Application Data
2943,1700000273.0354269,10.0.0.100,93.184.162.224,02:16:c6:a7:70:6e,00:11:22:33:44:01,TLS,TCP,54776,443,412,0,1,0,0,,,,,,,,,,,Application Data
2944,1700000273.6060908,93.184.103.218,10.0.0.101,00:11:22:33:44:01,02:db:16:b2:33:18,TLS,TCP,443,61728,688,0,1,0,0,,,,,,,,,,,Application Data
2945,1700000273.6905196,93.184.162.224,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,54776,1351,0,1,0,0,,,,,,,,,,,Application Data
2946,1700000274.2949035,93.184.162.224,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,54776,458,0,1,0,0,,,,,,,,,,,Application Data
2947,1700000274.443873,93.184.162.224,10.0.0.100,00:11:22:33:44:01,02:16:c6:a7:70:6e,TLS,TCP,443,54776,902,0,1,0,0,,,,,,,,,,,Application Data
2948,1700000274.7589402,10.0.0.100,93.184.162.224,02:16:c6:a7:70:6e,00:11:22:33:44:01,TLS,TCP,54776,443,663,0,1,0,0,,,,,,,,,,,Application Data
2949,1700000274.7951443,10.0.0.100,93.184.162.224,02:16:c6:a7:70:6e,00:11:22:33:44:01,TLS,TCP,54776,443,482,0,1,0,0,,,,,,,,,,,Application Data
2950,1700000278.175453,10.0.0.107,10.0.0.1,02:10:db:d3:46:a1,00:11:22:33:44:01,DNS,UDP,49796,53,81,,,,,wikipedia.org,1,0,,,,,,,,Standard query A wikipedia.org
2951,1700000278.195453,10.0.0.1,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,DNS,UDP,53,49796,129,,,,,wikipedia.org,1,1,0,,,,,,,Standard query response A wikipedia.org
2952,1700000278.225453,10.0.0.107,93.184.249.58,02:10:db:d3:46:a1,00:11:22:33:44:01,TCP,TCP,49796,443,74,1,0,0,0,,,,,,,,,,,SYN
2953,1700000278.2554529,93.184.249.58,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TCP,TCP,443,49796,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2954,1700000279.008479,10.0.0.110,10.0.0.1,02:c2:31:5d:77:7f,00:11:22:33:44:01,DNS,UDP,57812,53,80,,,,,microsoft.com,1,0,,,,,,,,Standard query A microsoft.com
2955,1700000279.028479,10.0.0.1,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,DNS,UDP,53,57812,116,,,,,microsoft.com,1,1,0,,,,,,,Standard query response A microsoft.com
2956,1700000279.0397701,93.184.249.58,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TLS,TCP,443,49796,1219,0,1,0,0,,,,,,,,,,,Application Data
2957,1700000279.058479,10.0.0.110,93.184.248.102,02:c2:31:5d:77:7f,00:11:22:33:44:01,TCP,TCP,57812,443,74,1,0,0,0,,,,,,,,,,,SYN
2958,1700000279.088479,93.184.248.102,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TCP,TCP,443,57812,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2959,1700000279.5671103,10.0.0.110,93.184.248.102,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,57812,443,1089,0,1,0,0,,,,,,,,,,,Application Data
2960,1700000280.1326401,93.184.248.102,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,57812,870,0,1,0,0,,,,,,,,,,,Application Data
2961,1700000280.2653987,10.0.0.107,93.184.249.58,02:10:db:d3:46:a1,00:11:22:33:44:01,TLS,TCP,49796,443,779,0,1,0,0,,,,,,,,,,,Application Data
2962,1700000281.0493104,93.184.249.58,10.0.0.107,00:11:22:33:44:01,02:10:db:d3:46:a1,TLS,TCP,443,49796,819,0,1,0,0,,,,,,,,,,,Application Data
2963,1700000281.4918501,10.0.0.110,93.184.248.102,02:c2:31:5d:77:7f,00:11:22:33:44:01,TLS,TCP,57812,443,260,0,1,0,0,,,,,,,,,,,Application Data
2964,1700000281.5634027,93.184.248.102,10.0.0.110,00:11:22:33:44:01,02:c2:31:5d:77:7f,TLS,TCP,443,57812,1180,0,1,0,0,,,,,,,,,,,Application Data
2965,1700000282.109364,10.0.0.104,10.0.0.1,02:80:5e:2e:ed:c8,00:11:22:33:44:01,DNS,UDP,56358,53,84,,,,,wikipedia.org,1,0,,,,,,,,Standard query A wikipedia.org
2966,1700000282.129364,10.0.0.1,10.0.0.104,00:11:22:33:44:01,02:80:5e:2e:ed:c8,DNS,UDP,53,56358,117,,,,,wikipedia.org,1,1,0,,,,,,,Standard query response A wikipedia.org
2967,1700000282.159364,10.0.0.104,93.184.74.21,02:80:5e:2e:ed:c8,00:11:22:33:44:01,TCP,TCP,56358,443,74,1,0,0,0,,,,,,,,,,,SYN
2968,1700000282.189364,93.184.74.21,10.0.0.104,00:11:22:33:44:01,02:80:5e:2e:ed:c8,TCP,TCP,443,56358,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
2969,1700000283.0424578,10.0.0.104,93.184.74.21,02:80:5e:2e:ed:c8,00:11:22:33:44:01,TLS,TCP,56358,443,1325,0,1,0,0,,,,,,,,,,,Application Data
2970,1700000283.0583026,93.184.74.21,10.0.0.104,00:11:22:33:44:01,02:80:5e:2e:ed:c8,TLS,TCP,443,56358,247,0,1,0,0,,,,,,,,,,,Application Data
2971,1700000283.0592813,10.0.0.104,93.184.74.21,02:80:5e:2e:ed:c8,00:11:22:33:44:01,TLS,TCP,56358,443,1046,0,1,0,0,,,,,,,,,,,Application Data
2972,1700000284.0209577,10.0.0.104,93.184.74.21,02:80:5e:2e:ed:c8,00:11:22:33:44:01,TLS,TCP,56358,443,640,0,1,0,0,,,,,,,,,,,Application Data
2973,1700000284.1375399,93.184.74.21,10.0.0.104,00:11:22:33:44:01,02:80:5e:2e:ed:c8,TLS,TCP,443,56358,817,0,1,0,0,,,,,,,,,,,Application Data
